% de dados faltantes ,VALUE,MODEL
10,:0.2274,SAITS
10,:0.2318,SAITS
10,:0.2287,SAITS
10,:0.2313,SAITS
10,:0.2305,SAITS
10,:0.2299,SAITS
10,:0.2298,SAITS
10,:0.2298,SAITS
10,:0.2298,SAITS
10,:0.2298,SAITS
10,:0.2718,USGAN
10,:0.2696,USGAN
10,:0.2712,USGAN
10,:0.2705,USGAN
10,:0.2721,USGAN
10,:0.2715,USGAN
10,:0.2710,USGAN
10,:0.2701,USGAN
10,:0.2705,USGAN
10,:0.2718,USGAN
10,:0.4561,GPVAE
10,:0.4493,GPVAE
10,:0.4484,GPVAE
10,:0.4575,GPVAE
10,:0.4575,GPVAE
10,:0.4564,GPVAE
10,:0.4536,GPVAE
10,:0.4467,GPVAE
10,:0.4493,GPVAE
10,:0.4462,GPVAE
10,:0.2541,brits
10,:0.2542,brits
10,:0.2548,brits
10,:0.2539,brits
10,:0.2546,brits
10,:0.2540,brits
10,:0.2535,brits
10,:0.2544,brits
10,:0.2544,brits
10,:0.2530,brits
10,:0.6994,MRNN
10,:0.7026,MRNN
10,:0.6950,MRNN
10,:0.7014,MRNN
10,:0.6864,MRNN
10,:0.6972,MRNN
10,:0.7000,MRNN
10,:0.7052,MRNN
10,:0.7033,MRNN
10,:0.7045,MRNN
20,:0.2459,SAITS
20,:0.2471,SAITS
20,:0.2439,SAITS
20,:0.2482,SAITS
20,:0.2474,SAITS
20,:0.2453,SAITS
20,:0.2471,SAITS
20,:0.2478,SAITS
20,:0.2446,SAITS
20,:0.2462,SAITS
20,:0.2873,USGAN
20,:0.2851,USGAN
20,:0.2864,USGAN
20,:0.2856,USGAN
20,:0.2880,USGAN
20,:0.2870,USGAN
20,:0.2866,USGAN
20,:0.2858,USGAN
20,:0.2865,USGAN
20,:0.2856,USGAN
20,:0.5070,GPVAE
20,:0.4656,GPVAE
20,:0.4762,GPVAE
20,:0.4652,GPVAE
20,:0.4624,GPVAE
20,:0.4571,GPVAE
20,:0.4607,GPVAE
20,:0.4585,GPVAE
20,:0.4556,GPVAE
20,:0.4594,GPVAE
20,:0.2754,brits
20,:0.2751,brits
20,:0.2760,brits
20,:0.2754,brits
20,:0.2763,brits
20,:0.2754,brits
20,:0.2761,brits
20,:0.2751,brits
20,:0.2760,brits
20,:0.2748,brits
20,:0.7045,MRNN
20,:0.7061,MRNN
20,:0.6982,MRNN
20,:0.7044,MRNN
20,:0.7019,MRNN
20,:0.6907,MRNN
20,:0.6993,MRNN
20,:0.7044,MRNN
20,:0.7076,MRNN
20,:0.7064,MRNN
30,:0.2655,SAITS
30,:0.2665,SAITS
30,:0.2638,SAITS
30,:0.2684,SAITS
30,:0.2679,SAITS
30,:0.2649,SAITS
30,:0.2664,SAITS
30,:0.2668,SAITS
30,:0.2641,SAITS
30,:0.2659,SAITS
30,:0.3042,USGAN
30,:0.3018,USGAN
30,:0.3026,USGAN
30,:0.3017,USGAN
30,:0.3052,USGAN
30,:0.3037,USGAN
30,:0.3036,USGAN
30,:0.3027,USGAN
30,:0.3034,USGAN
30,:0.3024,USGAN
30,:0.5153,GPVAE
30,:0.4785,GPVAE
30,:0.4895,GPVAE
30,:0.4772,GPVAE
30,:0.4785,GPVAE
30,:0.4895,GPVAE
30,:0.4772,GPVAE
30,:0.4735,GPVAE
30,:0.4708,GPVAE
30,:0.4725,GPVAE
30,:0.2972,brits
30,:0.2965,brits
30,:0.2975,brits
30,:0.2973,brits
30,:0.2986,brits
30,:0.2971,brits
30,:0.2981,brits
30,:0.2970,brits
30,:0.2980,brits
30,:0.2967,brits
30,:0.7091,MRNN
30,:0.7107,MRNN
30,:0.7025,MRNN
30,:0.7079,MRNN
30,:0.7069,MRNN
30,:0.6948,MRNN
30,:0.7021,MRNN
30,:0.7111,MRNN
30,:0.7040,MRNN
30,:0.6975,MRNN
40,:0.2842,SAITS
40,:0.2899,SAITS
40,:0.2898,SAITS
40,:0.2895,SAITS
40,:0.2926,SAITS
40,:0.2888,SAITS
40,:0.2863,SAITS
40,:0.2900,SAITS
40,:0.2892,SAITS
40,:0.2896,SAITS
40,:0.3212,USGAN
40,:0.3188,USGAN
40,:0.3193,USGAN
40,:0.3181,USGAN
40,:0.3226,USGAN
40,:0.3206,USGAN
40,:0.3207,USGAN
40,:0.3196,USGAN
40,:0.3205,USGAN
40,:0.3193,USGAN
40,:0.5248,GPVAE
40,:0.4931,GPVAE
40,:0.5039,GPVAE
40,:0.4909,GPVAE
40,:0.4866,GPVAE
40,:0.4858,GPVAE
40,:0.4865,GPVAE
40,:0.4865,GPVAE
40,:0.4855,GPVAE
40,:0.4827,GPVAE
40,:0.3175,brits
40,:0.3172,brits
40,:0.3184,brits
40,:0.3178,brits
40,:0.3187,brits
40,:0.3182,brits
40,:0.3185,brits
40,:0.3168,brits
40,:0.3179,brits
40,:0.3170,brits
40,:0.7123,MRNN
40,:0.7133,MRNN
40,:0.7051,MRNN
40,:0.7102,MRNN
40,:0.7097,MRNN
40,:0.6973,MRNN
40,:0.7032,MRNN
40,:0.7109,MRNN
40,:0.7120,MRNN
40,:0.7126,MRNN
50,:0.3116,SAITS
50,:0.3167,SAITS
50,:0.3186,SAITS
50,:0.3178,SAITS
50,:0.3221,SAITS
50,:0.3161,SAITS
50,:0.3135,SAITS
50,:0.3180,SAITS
50,:0.3175,SAITS
50,:0.3180,SAITS
50,:0.3411,USGAN
50,:0.3389,USGAN
50,:0.3390,USGAN
50,:0.3372,USGAN
50,:0.3430,USGAN
50,:0.3407,USGAN
50,:0.3409,USGAN
50,:0.3395,USGAN
50,:0.3409,USGAN
50,:0.3393,USGAN
50,:0.5382,GPVAE
50,:0.5109,GPVAE
50,:0.5213,GPVAE
50,:0.5076,GPVAE
50,:0.5029,GPVAE
50,:0.5036,GPVAE
50,:0.5033,GPVAE
50,:0.5030,GPVAE
50,:0.5006,GPVAE
50,:0.5025,GPVAE
50,:0.3398,brits
50,:0.3396,brits
50,:0.3408,brits
50,:0.3405,brits
50,:0.3412,brits
50,:0.3407,brits
50,:0.3391,brits
50,:0.3394,brits
50,:0.3415,brits
50,:0.3400,brits
50,:0.7165,MRNN
50,:0.7171,MRNN
50,:0.7090,MRNN
50,:0.7135,MRNN
50,:0.7137,MRNN
50,:0.7010,MRNN
50,:0.7054,MRNN
50,:0.7139,MRNN
50,:0.7143,MRNN
50,:0.7157,MRNN